	lyric	meta_GPU	meta_audio	meta_beam_width	meta_context_length	meta_genre	meta_max_len	meta_model_name	meta_model_type	meta_multinomial	meta_seed_text	meta_temperature	meta_title	meta_top_k	meta_verbose	metrics_BLEU_1_excl_Unsmoothed	metrics_BLEU_2_excl_Unsmoothed	metrics_BLEU_3_cumul_Smoothed	metrics_BLEU_3_excl_Unsmoothed	metrics_BLEU_4_cumul_Smoothed	metrics_BLEU_4_excl_Unsmoothed	metrics_POS_conformity	metrics_closestMeters	metrics_editsPerLine	metrics_rhymeDensityAP	metrics_rhymeDensityAS	metrics_rhymeDensityAV	metrics_rhymeDensityEP	metrics_rhymeDensityES	metrics_rhymeDensityEV
0	"['xbos', 'xgenre', 'pop', 'xtitle', 'dear', 'god', 'xbol-1', '[verse-1]', 'xeol', 'xbol-2', 'it', ""'s"", 'been', 'a', 'long', 'time', 'xeol', 'xbol-3', 'since', 'i', 'had', 'to', 'leave', 'you', 'xeol', 'xbol-4', 'i', ""'ve"", 'been', 'saying', 'xeol', 'xbol-5', 'that', 'i', ""'ve"", 'been', 'doing', 'too', 'much', 'xeol', 'xbol-6', 'but', 'i', 'can', 'xeos']"	True		3	30	pop	40	4.2-LM-108k-lines-genre-song_title	language	True	xbos	1.2		3	0	1.0	0.6521739130434783	0.6216415292375487	0.18181818181818182	0.3898610068972541	0.004761904761904763	0.6647814814814814	['Trochaic dimeter']	2.1666666666666665	0.2608695652173913	0.6086956521739131	0.6521739130434783	0.0	0.0	0.0
1	"['xbos', 'xgenre', 'pop', 'xtitle', 'can', ""'t"", 'get', 'enough', 'of', 'your', 'love', 'xbol-1', 'i', 'can', ""'t"", 'get', 'enough', 'of', 'your', 'love', 'xeol', 'xbol-2', 'i', 'can', ""'t"", 'get', 'enough', 'of', 'your', 'love', 'xeol', 'xbol-3', 'can', ""'t"", 'get', 'enough', 'of', 'your', 'love', 'xeol', 'xbol-4', 'i', 'can', ""'t"", 'xeos']"	True		6	30	pop	40	4.2-LM-108k-lines-genre-song_title	language	True	xbos	1.2		3	0	1.0	0.38095238095238093	0.45618479407299367	0.005000000000000002	0.26982666127386384	0.005263157894736842	0.6347615384615385	['Iambic trimeter', 'Trochaic trimeter', 'Trochaic tetrameter']	3.75	0.7619047619047619	0.8095238095238095	0.8095238095238095	0.6666666666666666	0.6666666666666666	0.6666666666666666
2	"['xbos', 'xgenre', 'pop', 'xtitle', 'you', ""'re"", 'the', 'one', 'xbol-1', '[verse-1]', 'xeol', 'xbol-2', 'you', ""'re"", 'the', 'one', 'i', 'love', 'xeol', 'xbol-3', 'and', 'you', ""'re"", 'the', 'one', 'i', 'love', 'xeol', 'xbol-4', 'you', ""'re"", 'the', 'one', 'i', 'love', 'xeol', 'xbol-5', 'you', ""'re"", 'the', 'one', 'i', 'love', 'xeol', 'xeos']"	True		9	30	pop	40	4.2-LM-108k-lines-genre-song_title	language	True	xbos	1.2		3	0	1.0	0.2857142857142857	0.4261257491468791	0.005000000000000002	0.2508010097152902	0.005263157894736842	0.7257	['Iambic dimeter']	2.4	0.7142857142857143	0.6190476190476191	0.8095238095238095	0.75	0.75	0.75
3	['xbos', 'xgenre', 'pop', 'xtitle', 'hit', 'the', 'street', 'xbol-1', '[intro]', 'xeol', 'xbol-2', 'ooh', 'ooh', 'ooh', 'xeol', 'xbol-3', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'xeol', 'xbol-4', 'xeol', 'xbol-5', '[verse-1]', 'xeol', 'xbol-6', 'here', 'we', 'come', ',', 'here', 'we', 'go', ',', 'here', 'we', 'go', 'xeol', 'xbol-7', 'here', 'we', 'go', 'xeos']	True		3	30	pop	40	4.2-LM-108k-lines-genre-song_title	language	True	xbos	1.2		6	0	0.8333333333333334	0.17391304347826086	0.3532083389036708	0.004545454545454548	0.20678916471614175	0.004761904761904763	0.7441666666666668	['Iambic dimeter', 'Trochaic dimeter']	3.7142857142857144	0.6521739130434783	0.6956521739130435	0.6956521739130435	0.4	0.4	0.4
4	['xbos', 'xgenre', 'pop', 'xtitle', 'bye', 'bye', 'love', 'xbol-1', 'bye', 'bye', 'love', 'xeol', 'xbol-2', 'bye', 'bye', 'love', 'xeol', 'xbol-3', 'bye', 'bye', 'love', 'xeol', 'xbol-4', 'bye', 'bye', 'love', 'xeol', 'xbol-5', 'bye', 'bye', 'love', 'xeol', 'xbol-6', 'bye', 'bye', 'love', 'xeol', 'xbol-7', 'bye', 'bye', 'love', 'xeol', 'xbol-8', 'bye', 'xeos']	True		6	30	pop	40	4.2-LM-108k-lines-genre-song_title	language	True	xbos	1.2		6	0	0.3181818181818182	0.004761904761904763	0.18184917988016	0.005000000000000002	0.10497277621629562	0.005263157894736842	0.8444454545454547	['Iambic dimeter', 'Trochaic dimeter']	2.125	0.9523809523809523	0.9523809523809523	0.9523809523809523	0.8571428571428571	0.8571428571428571	0.8571428571428571
5	['xbos', 'xgenre', 'pop', 'xtitle', 'you', 'say', 'you', 'love', 'me', 'xbol-1', 'you', 'say', 'you', 'love', 'me', 'xeol', 'xbol-2', 'you', 'say', 'you', 'love', 'me', 'xeol', 'xbol-3', 'you', 'say', 'you', 'love', 'me', 'xeol', 'xbol-4', 'you', 'say', 'you', 'love', 'me', 'xeol', 'xbol-5', 'you', 'say', 'you', 'love', 'me', 'xeol', 'xeos']	True		9	30	pop	40	4.2-LM-108k-lines-genre-song_title	language	True	xbos	1.2		6	0	1.0	0.6666666666666666	0.6040358919479735	0.13043478260869565	0.3745176123799699	0.004545454545454548	1.4184999999999999	['Iambic dimeter', 'Iambic trimeter', 'Trochaic dimeter', 'Trochaic trimeter']	3.0	0.875	0.875	0.875	1.0	1.0	1.0
6	"['xbos', 'xgenre', 'pop', 'xtitle', 'there', ""'s"", 'something', 'i', 'want', 'to', 'know', 'xbol-1', '[intro]', 'xeol', 'xbol-2', 'there', ""'s"", 'something', 'inside', 'of', 'me', 'xeol', 'xbol-3', 'there', ""'s"", 'something', 'inside', 'of', 'me', 'xeol', 'xbol-4', 'i', 'believe', 'there', ""'s"", 'something', 'inside', 'of', 'me', 'xeol', 'xbol-5', 'there', ""'s"", 'something', 'xeos']"	True		3	30	pop	40	4.2-LM-108k-lines-genre-song_title	language	True	xbos	1.2		9	0	0.95	0.3157894736842105	0.49262457585316055	0.11111111111111109	0.3255726595171278	0.0588235294117647	0.8482333333333333	['Trochaic dimeter']	3.8	0.631578947368421	0.7894736842105263	0.9473684210526315	0.5	0.5	0.5
7	['xbos', 'xgenre', 'pop', 'xtitle', 'hey', 'xbol-1', 'hey', ',', 'hey', ',', 'hey', ',', 'hey', ',', 'hey', ',', 'hey', 'xeol', 'xbol-2', 'hey', ',', 'hey', ',', 'hey', ',', 'hey', ',', 'hey', ',', 'hey', ',', 'hey', ',', 'hey', 'xeol', 'xbol-3', 'hey', ',', 'hey', ',', 'hey', ',', 'hey', ',', 'xeos']	True		6	30	pop	40	4.2-LM-108k-lines-genre-song_title	language	True	xbos	1.2		9	0	0.7235906755307153	0.3069778623463641	0.38424650285146866	0.06783662583100455	0.260186976951202	0.04668326938907841	5.154605882352938	['Iambic trimeter', 'Trochaic trimeter']	3.6666666666666665	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5	0.5	0.5
8	"['xbos', 'xgenre', 'pop', 'xtitle', 'i', ""'ll"", 'never', 'be', 'the', 'same', 'xbol-1', 'i', ""'ll"", 'never', 'be', 'the', 'same', 'xeol', 'xbol-2', 'i', ""'ll"", 'never', 'be', 'the', 'same', 'xeol', 'xbol-3', 'i', ""'ll"", 'never', 'be', 'the', 'same', 'xeol', 'xbol-4', 'i', ""'ll"", 'never', 'be', 'the', 'same', 'xeol', 'xbol-5', 'xeol', 'xeos']"	True		9	30	pop	40	4.2-LM-108k-lines-genre-song_title	language	True	xbos	1.2		9	0	1.0	0.3157894736842105	0.4631545140213112	0.05555555555555554	0.2788405714747312	0.005882352941176469	0.6245666666666667	['Iambic trimeter']	2.0	0.7894736842105263	0.631578947368421	0.9473684210526315	1.0	1.0	1.0
9	"['xbos', 'xgenre', 'pop', 'xtitle', 'million', 'eyes', '(lp', 'version', ')', 'xbol-1', '[verse-1]', 'xeol', 'xbol-2', 'i', ""'ve"", 'got', 'what', 'you', 'want', ',', 'i', ""'ve"", 'got', 'what', 'you', 'want', 'xeol', 'xbol-3', 'i', ""'ve"", 'got', 'what', 'you', 'want', ',', 'i', ""'ve"", 'got', 'what', 'you', 'need', 'xeol', 'xbol-4', 'xeol', 'xeos']"	True		3	30	pop	40	4.2-LM-108k-lines-genre-song_title	language	True	xbos	1.2		12	0	1.0	0.3181818181818182	0.48258790848406435	0.09523809523809525	0.29440736532664163	0.005000000000000002	1.2218259259259256	['Iambic dimeter', 'Trochaic dimeter']	6.0	0.6363636363636364	0.6818181818181818	0.6818181818181818	0.0	0.0	0.0
