msd_id,song_id,song_url,artist_id,artist
TRAAAAW128F429D538,13078,https://genius.com/Casual-i-didnt-mean-to-lyrics,2904,Casual
TRAAABD128F429CF47,1633672,https://genius.com/The-box-tops-soul-deep-lyrics,202251,The Box Tops
TRAAADZ128F9348C2E,1048686,https://genius.com/La-sonora-santanera-amor-de-cabaret-lyrics,367221,La Sonora Santanera
TRAAAEF128F4273421,752887,https://genius.com/Adam-ant-something-girls-lyrics,67857,Adam Ant
TRAAAFD128F92F423A,1240187,https://genius.com/Gob-face-the-ashes-lyrics,273034,Gob
TRAAAMO128F1481E7F,,,,
TRAAAMQ128F1460CD3,46364,https://genius.com/Tru-run-away-slaves-lyrics,9037,TRU
TRAAAPK128E0786D96,,,,
TRAAARJ128F9320760,1196276,https://genius.com/Planet-p-project-pink-world-lyrics,354332,Planet P Project
TRAAAVG12903CFA543,1812712,https://genius.com/Clp-insatiable-lyrics,403984,CLP
TRAAAVO128F93133D4,,,,
TRAABCL128F4286650,,,,
TRAABDL12903CAABBA,814269,https://genius.com/Andy-andy-voy-a-tener-que-olvidarte-lyrics,350919,Andy Andy
TRAABJL12903CDCF1A,,,,
TRAABJV128F1460C49,461061,https://genius.com/Lionel-richie-tonight-will-be-alright-lyrics,22272,Lionel Richie
TRAABLR128F423B7E3,847613,https://genius.com/Blue-rodeo-floating-lyrics,349425,Blue Rodeo
TRAABNV128F425CEE1,,,,
TRAABRB128F9306DD5,,,,
TRAABVM128F92CA9DC,1723328,https://genius.com/Tesla-caught-in-a-dream-lyrics,273793,Tesla
TRAABXG128F9318EBD,,,,
TRAABYN12903CFD305,,,,
TRAABYW128F4244559,,,,
TRAACCG128F92E8A55,,,,
TRAACER128F4290F96,447241,https://genius.com/The-dillinger-escape-plan-setting-fire-to-sleeping-giants-lyrics,53795,The Dillinger Escape Plan
TRAACFV128F935E50B,881223,https://genius.com/Sue-thompson-james-hold-the-ladder-steady-lyrics,360258,Sue Thompson
TRAACHN128F1489601,1571568,https://genius.com/Five-bolt-main-made-like-this-lyrics,355913,Five Bolt Main
TRAACIW12903CC0F6D,,,,
TRAACLV128F427E123,,,,
TRAACNS128F14A2DF5,1298568,https://genius.com/Willie-bobo-spanish-grease-dorfmeister-con-madrid-de-los-austrias-muga-reserva-mix-lyrics,371966,Willie Bobo
TRAACOW128F933E35F,,,,
TRAACPE128F421C1B9,,,,
TRAACQT128F9331780,876867,https://genius.com/John-wesley-the-emperor-falls-lyrics,21164,John Wesley
TRAACSL128F93462F4,1000296,https://genius.com/The-shangri-las-twist-and-shout-lyrics,43432,The Shangri-Las
TRAACTB12903CAAF15,1708913,https://genius.com/Billie-jo-spears-it-makes-no-difference-now-lyrics,343740,Billie Jo Spears
TRAACVS128E078BE39,33342,https://genius.com/Mike-jones-laws-patrolling-lyrics,287,Mike Jones
TRAACZK128F4243829,,,,
TRAADDS128F425C68B,389392,https://genius.com/Rock-genius-editors-band-names-lyrics,114352,Rock Genius Editors
TRAADED128F42741FD,3513563,https://genius.com/Despina-vandi-oute-ena-efharisto-lyrics,355917,Despina Vandi
TRAADEV128F9348C0A,,,,
TRAADHS12903CE70A9,,,,
TRAADIV12903CB15C1,1088052,https://genius.com/Eloy-company-of-angels-lyrics,328297,Eloy
TRAADLH12903CA70EE,1201841,https://genius.com/The-suicide-machines-burning-in-the-aftermath-lyrics,353497,The Suicide Machines
TRAADLN128F14832E9,140056,https://genius.com/The-rolling-stones-angie-lyrics,774,The Rolling Stones
TRAADLR12903CF8D7E,,,,
TRAADLX128F1469250,,,,
TRAADMH128F9343E59,,,,
TRAADNA128F9331246,1779839,https://genius.com/Stevie-ray-vaughan-crossfire-lyrics,24433,Stevie Ray Vaughan
TRAADOF12903CAA1C1,1776542,https://genius.com/John-hammond-i-cant-be-satisfied-lyrics,32898,John Hammond
TRAADQX128F422B4CF,710763,https://genius.com/Casiotone-for-the-painfully-alone-nashville-parthenon-lyrics,186306,Casiotone for the Painfully Alone
TRAADRN128F932D607,,,,
TRAADVH128EF34DE7A,2265986,https://genius.com/Tv-show-soundtracks-music-used-in-tv-shows-week-of-7-20-15-lyrics,498386,TV Show Soundtracks
TRAADYB128F92D7E73,1091846,https://genius.com/Eliane-elias-the-more-i-see-you-lyrics,371117,Eliane Elias
TRAADYI128E078FB38,29353,https://genius.com/Lost-boyz-certain-things-we-do-lyrics,793,Lost Boyz
TRAAEAM128F934B199,3604369,https://genius.com/Dirty-dike-catch-me-if-you-nah-lyrics,39344,Dirty Dike
TRAAEDJ12903CCE390,,,,
TRAAEEH128E0795DFE,639993,https://genius.com/Chris-rea-driving-home-for-christmas-lyrics,213446,Chris Rea
TRAAELO128F9302DD1,,,,
TRAAEMJ128F425A917,,,,
TRAAENC128F1451DE9,970602,https://genius.com/Francis-dunnery-too-much-saturn-lyrics,49899,Francis Dunnery
TRAAENP128F147BF32,,,,
TRAAEOU128F9309DE0,2424467,https://genius.com/Marchelo-senke-lyrics,40480,Marchelo
TRAAERU128F930674F,1159827,https://genius.com/Vickie-winans-its-alright-lyrics,368625,Vickie Winans
TRAAEUB12903CDD3EA,1402629,https://genius.com/The-berzerker-deform-lyrics,360189,The Berzerker
TRAAEWG128F930B3A4,421865,https://genius.com/Kings-of-leon-wicker-chair-lyrics,1174,Kings of Leon
TRAAEXM128F92D47C8,,,,
TRAAFEB128F92F8694,,,,
TRAAFJW128F428A424,262234,https://genius.com/Nofx-stickin-in-my-eye-lyrics,18892,NOFX
TRAAFKJ12903D02552,,,,
TRAAFMS128F933AB23,1684232,https://genius.com/Soda-stereo-entre-canibales-lyrics,278419,Soda Stereo
TRAAFON128F42926FB,,,,
TRAAFRU128F9339158,,,,
TRAAFSM128F425A2C5,308641,https://genius.com/Guns-n-roses-madagascar-lyrics,637,Guns N' Roses
TRAAFUJ128F933F42B,22410,https://genius.com/Heavy-d-wanna-be-a-player-lyrics,2121,Heavy D
TRAAFYL128E07856A7,153751,https://genius.com/Van-halen-panama-lyrics,38215,Van Halen
TRAAGCZ128F93210FD,10684,https://genius.com/The-black-eyed-peas-lets-get-it-started-lyrics,425,The Black Eyed Peas
TRAAGEC128E079252C,1460107,https://genius.com/Nine-inch-nails-metal-lyrics,12757,Nine Inch Nails
TRAAGGE128F9325E2C,380145,https://genius.com/Nick-cave-and-the-bad-seeds-she-fell-away-lyrics,39212,Nick Cave and the Bad Seeds
TRAAGHM128EF35CF8E,,,,
TRAAGJV128F1464090,707672,https://genius.com/Lesley-gore-its-my-party-lyrics,51035,Lesley Gore
TRAAGKF128F932D5A2,,,,
TRAAGKQ128F92EAF39,103755,https://genius.com/Nessbeal-ca-ira-mieux-demain-lyrics,1508,Nessbeal
TRAAGKS128F9314884,1316312,https://genius.com/Emperor-opus-a-satana-lyrics,69733,Emperor
TRAAGMJ12903CAD7D4,1341503,https://genius.com/Julien-clerc-this-melody-lyrics,344794,Julien Clerc
TRAAGNL128F4299BF1,,,,
TRAAGOH128F42593CE,,,,
TRAAGPF12903CE027E,1673061,https://genius.com/Slim-whitman-indian-love-call-lyrics,364591,Slim Whitman
TRAAGPH128F4273C8D,1317870,https://genius.com/Savage-garden-you-can-still-be-free-lyrics,123530,Savage Garden
TRAAGPJ128F428CD1B,423146,https://genius.com/Queens-of-the-stone-age-i-never-came-lyrics,25320,Queens of the Stone Age
TRAAGUA128F93236E8,,,,
TRAAGVF128E0789785,1592832,https://genius.com/Inspiral-carpets-commercial-rain-lyrics,41289,Inspiral Carpets
TRAAGVM128E0784D95,1721553,https://genius.com/Borialis-hourglass-lyrics,380092,Borialis
TRAAGXN128F92DE52C,,,,
TRAAGZU128EF360F47,,,,
TRAAHDH128F93094B6,95624,https://genius.com/Sniper-niquer-le-systeme-lyrics,1507,Sniper
TRAAHEG128E07861C3,39934,https://genius.com/Redman-wkya-drop-lyrics,229,Redman
TRAAHEH128F427FCEF,,,,
TRAAHEQ128F93057B4,,,,
TRAAHER128F92E3FE9,3537579,https://genius.com/Richie-cunning-need-u-bad-remix-lyrics,17304,Richie Cunning
TRAAHJX128F9312B83,,,,
